試験,しけん
問題,もんだい
聴解,ちょうかい
文字,もじ
語彙,ごい
読解,どっかい
文法,ぶんぽう
セクション,section
大きな,おおきな
小さな,ちいさな
選択肢,せんたくし
正しい,ただしい
答え,こたえ
選ぶ,えらぶ
書き間違う,かきまちがう
書き直す,かきなおす
消しゴム,けしゴム
消す,けす
開始,かいし
ベル,bell
鳴る,なる
このよう,このよう
説明,せつめい
厳しい,きびしい
一生懸命,いっしょうけんめい
頑張る,がんばる
予鈴,よれい
席,せき
問題用紙,もんだいようし
解答用紙,かいとうようし
配る,くばる
すぐ,すぐ
書き始める,かきはじめる
始める,はじめる
注意事項,ちゅういじこう
言う,いう
名前,なまえ
必ず,かならず
鉛筆,えんぴつ
使う,つかう
中,ちゅう
カンニング,cunning
資格,しかく
取り消す,とりけす
質問,しつもん
答える,こたえる
方,かた
教える,おしえる
全て,すべて
つける,つける
解答欄,かいとうらん
出す,だす
持ち帰る,もちかえる
採点,さいてん
ボールペン,ballpoint pen
途中,とちゅう
印刷,いんさつ
あげる,あげる
メモを取る,メモをとる
規定,きてい
考える,かんがえる
汚い,きたない
結果,けっか
統計,とうけい
気をつける,きをつける
延ばす,のばす
守る,まもる
コンピューター,computer
訪問,ほうもん
マナー,manners
予め,あらかじめ
日時,にちじ
約束,やくそく
早い,はやい
入る                            ,はいる
チャイム                     ,chime
鳴らす                      ,ならす
勝手,かって
手土産                                        ,てみやげ
渡す,わたす
こう,こう
細やか,ささやか
お受け取りください,おうけとりください
生鮮食品,せいせんしょくひん
無理,むり
礼,れい
次に,つぎに
先日                              ,せんじつ
