挨拶,あいさつ
言葉,ことは
練習,れんしゅう
通す,とおす
関係,かんけい
昼間,ひるま
季節,きせつ
特に,とくに
確かに,たしかに
一面,いちめん
表す,あらわす
知識,ちしき
漢字,かんじ
訓読み,くんよみ
魚,うお
音読み,おんよみ
熱帯魚,ねったいぎょ
別れる,わかれる
遣り取り,やりとり
社交的,しゃこうてき
フランス,France
ではまた,ではまた
バイバイ,bye-.e
大人,おとな
謝る,あやまる
お互い,おたがい
利益,りえき
喜び合う,よろこびあう
不利,ふり
悲しみ合う,かなしみあう
つまり,つまり
結び付ける,むすびつける
親しい,したしい
大切,たいせつ
しっかり,しっかり
富士山,ふじさん
盛ん,さかん
彼ら,かれら
欠かす,欠かす
日常,にちじょう
迷う,まよう
快刀乱麻,かいとうらんま
それとも,それとも
五里霧中,ごりむちゅう
首を傾げる                ,くびをかしげる
文章,ぶんしょう
困る,こまる
選択,せんたく
やはり,やはり
忘れる                      ,わすれる
