趣味,しゅみ
スポーツ,sports
やる,やる
中華料理,ちゅうかりょうり
大好き,だいすき
北京料理,ペキン　りょうり
上海料理,しゃんはいりょうり
四川料理,しせんりょうり
酢豚,すぶた
初め,はじめ
辛い,からい
嫌い,きらい
音楽,おんがく
ジャズ                                ,jazz
ロック(ロックンロールの略),rock’n’roll
クラスシック,classic
皆,みな
出来る,できる
人気がある,にんきがある
クラスメート,クラスメート
ピンポン,ピンポン
チャンネル,チャンネル
番組,ばんぐみ
内容,ないよう
豊か,ゆたか
陳,ちん
張,ちょう
得意,とくい
苦手,にがて
以前,いぜん
碁,ご
将棋,しょうぎ
興味,きょうみ
持つ,もつ
最近,さいきん
鋤焼き,すきやき
納豆,なっとう
梅干し,うめぼし
焼く,やく
煮る,にる
生,なま
例えば,たとえば
甘い,あまい
塩辛い,しおからい
最初,さいしょ
人間,にんげん
心,こころ
伝える,つたえる
スリラー,thriller
大学院生,だいがくいんせい
大学院,だいがくいん
入学,にゅうがく
分かる,わかる
専門,せんもん
中国史,ちゅうごくし
小学生,しょうがくせい
車,くるま
運転,うんてん
招待,しょうたい
受ける,うける
引き受ける,ひきうける
修士論文,しゅうしろんふん
書く,かく
でも                                          ,でも
将来,しょうらい
研究,けんきゅう
